,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,clean_tweet,Sentiment
0,@arshkhurana By this way RCB is also confident of winning IPL someday 😂😂,Pawan Ji Ka Fan,6490,1758,Dehradun,False,1,0,2020-10-30 07:30:31,By this way RCB is also confident of winning IPL someday,Positive
1,@Lipujen15826468 @IPL @mipaltan If either DC or RCB lose both matches...then SRH winning both will easily qualify a… https://t.co/7drTremmpQ,Ashy,344,6,India,False,1,0,2020-10-30 06:19:12,If either DC or RCB lose both matches then SRH winning both will easily qualify a,Positive
2,@imVkohli @RCBTweets If next match IPL playoff / final b/w RCB vs MI it’s just like a big War. SKY was duck out 1st… https://t.co/cIeTltsU24,B Raveendranadh Singh,13,8,"Hyderabad, India",False,1,0,2020-10-30 06:18:53,If next match IPL playoff final b w RCB vs MI it s just like a big War SKY was duck out 1st,Neutral
3,"RT @nihayati_lazy: Waiting for Modi ji's ache din and RCB winning IPL trophy are same actually !!
Pta nii kb aayenge wo din !!😐",💙 SHISHU ✨💜,52444,1120,,False,0,4,2020-10-30 03:49:32,RT lazy Waiting for Modi ji s ache din and RCB winning IPL trophy are same actually Pta nii kb aayenge wo din,Positive
4,@bhaleraosarang What would be the scenario for RCB to qualify without winning their last match against Delhi ? Also… https://t.co/4uavcIsz4P,Kartik O 🏏⚽🔗,29917,270,"New Delhi, India",False,0,0,2020-10-30 02:43:20,What would be the scenario for RCB to qualify without winning their last match against Delhi Also,Positive
5,"@Bum10Niru @RajeshBadugula1 @mipaltan Forget qualification. They win one ipl trophy , their fans will make it sound… https://t.co/1JZx9USXCz",Nikhil k,575,37,The mysterious land of india,False,2,0,2020-10-29 20:10:11,Forget qualification They win one ipl trophy their fans will make it sound,Positive
6,"RT @prabhusaurabh91: &lt;3/3&gt;
Kohli has hardly anything to show as a captain. #RCB would have long got rid of him as a captain due to past per…",Saurabh Prabhu,8169,4027,Mumbai,False,0,2,2020-10-29 18:20:36,RT lt 3 3 gt Kohli has hardly anything to show as a captain RCB would have long got rid of him as a captain due to past per,Negative
7,The key to winning ipl matches. Score about 9-10 from overs 6-14 as the batting side . Easier said than done. MI wi… https://t.co/SZJ4nykBlB,Nikhil k,575,37,The mysterious land of india,False,0,0,2020-10-29 17:03:59,The key to winning ipl matches Score about 9 10 from overs 6 14 as the batting side Easier said than done MI wi,Positive
8,"tooo bad now that rcb is kinda winning , all the RCB Kohli troll tweets hav gone down. 😶 #IPL",rollsgotrollin,121,7,Pune ,False,0,0,2020-10-29 17:01:08,tooo bad now that rcb is kinda winning all the RCB Kohli troll tweets hav gone down IPL,Negative
9,"RT @prabhusaurabh91: &lt;3/3&gt;
Kohli has hardly anything to show as a captain. #RCB would have long got rid of him as a captain due to past per…",Anshumaan Malethia,34111,231,"Jaipur, India",False,0,2,2020-10-29 16:50:21,RT lt 3 3 gt Kohli has hardly anything to show as a captain RCB would have long got rid of him as a captain due to past per,Negative
10,"&lt;3/3&gt;
Kohli has hardly anything to show as a captain. #RCB would have long got rid of him as a captain due to past… https://t.co/pGxKwl0RUJ",Saurabh Prabhu,8169,4027,Mumbai,False,7,2,2020-10-29 16:45:32,lt 3 3 gt Kohli has hardly anything to show as a captain RCB would have long got rid of him as a captain due to past,Negative
11,Why rcb is not winning the IPL cup what is the reason of the rcb not winning#staraikelungal,Ritayu Ahamed,16,0,,False,0,0,2020-10-29 16:20:16,Why rcb is not winning the IPL cup what is the reason of the rcb not winning staraikelungal,Negative
12,@devdpd07 @RCBTweets What a great inning from you @devdpd07 you are the best i become your big fan you are most imp… https://t.co/SMXus3Wt4s,Suraj Thakur,1928,188,"Madhya Pradesh, India",False,0,0,2020-10-29 16:16:18,What a great inning from you you are the best i become your big fan you are most imp,Positive
13,"RT @RCBSG30: The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB

The Universe Boss Deserve an IPL trophy",Sachin,2322,18,,False,0,2,2020-10-29 15:44:31,RT The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB The Universe Boss Deserve an IPL trophy,Positive
14,"RT @RCBSG30: The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB

The Universe Boss Deserve an IPL trophy",Adi Kittu,163,11,india,False,0,2,2020-10-29 15:43:47,RT The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB The Universe Boss Deserve an IPL trophy,Positive
15,"The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB

The Universe Boss Deserve an IPL trophy",#HailPaddikal,9232,423,,False,21,2,2020-10-29 15:39:34,The Only Team I would not mind winning the trophy this year Except RCB is Chotta RCB The Universe Boss Deserve an IPL trophy,Positive
16,"@The_BlueKnight_ No I'm not supporting csk my fav team is kxip

If in top 4 rcb and srh will not so kxip will becoz… https://t.co/pTwoKJulPu",Rajesh,28,0,I,False,0,0,2020-10-29 14:15:11,BlueKnight No I m not supporting csk my fav team is kxip If in top 4 rcb and srh will not so kxip will becoz,Positive
17,The only thing stopping rcb from winning the ipl is virat Kohli 🥺,Rahul Gunjalkar,627,20,Mumbai /Ahmedabad ,False,1,0,2020-10-29 14:04:22,The only thing stopping rcb from winning the ipl is virat Kohli,Positive
18,RT @circleofcricket: Twitterati reacts to #RCB captain Virat Kohli staring at Surya Kumar Yadav during his match-winning knock for #MumbaiI…,Tejas Pujare,24333,125,"Mumbai, India",False,0,2,2020-10-29 13:56:52,RT Twitterati reacts to RCB captain Virat Kohli staring at Surya Kumar Yadav during his match winning knock for MumbaiI,Positive
19,So rcb is surely winning the ipl 2020,Lalit Kumar,1778,152,,False,0,0,2020-10-29 12:36:54,So rcb is surely winning the ipl 2020,Positive
20,"#CSK won the Match 44 against #RCB by 8 wickets 

Who from @ChennaiIPL made a match-winning knock of 65* with 4 FOU… https://t.co/kREx15HRE5",Knowit,140,37,,False,0,0,2020-10-29 12:00:01,CSK won the Match 44 against RCB by 8 wickets Who from made a match winning knock of 65 with 4 FOU,Positive
21,"RT @Iamramkrit: @RCBTweets @lifebuoysoap Something never change!!😄
1.The habits of #RCB losing matches.
2.The overconfident of #RCB after w…",chandan pharmacist,377,4,,False,0,1,2020-10-29 11:34:05,RT Something never change 1 The habits of RCB losing matches 2 The overconfident of RCB after w,Neutral
22,"@RCBTweets Something never change!!😄
1.The habits of #RCB losing matches.
2.The overconfident of #RCB after winning… https://t.co/n2CzCxlGPb",Ramkrit Yadav,1019,11,"Varanasi, India",False,1,0,2020-10-29 11:30:32,Something never change 1 The habits of RCB losing matches 2 The overconfident of RCB after winning,Positive
23,"@RasikaP7 @mipaltan @surya_14kumar IPL is all about the brand value of teams. Teams may win or lose, what matters f… https://t.co/M6YGodlkre",Gagankv,6627,36,,False,3,0,2020-10-29 11:28:35,14kumar IPL is all about the brand value of teams Teams may win or lose what matters f,Positive
24,"RT @thesouthernwom1: Cheap antics-100%, performance-0%, winning % as RCB captain-47%, Highest auction price -17 crores. We are just done wi…",Janhavi Singh,4626,27,,False,0,1,2020-10-29 11:26:43,RT Cheap antics 100 performance 0 winning as RCB captain 47 Highest auction price 17 crores We are just done wi,Positive
25,"@RCBTweets @lifebuoysoap Something never change!!😄
1.The habits of #RCB losing matches.
2.The overconfident of #RCB… https://t.co/HrG8jKArC4",Ramkrit Yadav,1019,11,"Varanasi, India",False,7,1,2020-10-29 11:26:35,Something never change 1 The habits of RCB losing matches 2 The overconfident of RCB,Neutral
26,"Delhi Vs RCB
Congrats Delhi for winning  2020 ipl https://t.co/hkgx4FeIPG",Rahul Bansal🇮🇳🚩🚩,183641,1033,"Faridabad, India",False,0,0,2020-10-29 10:47:04,Delhi Vs RCB Congrats Delhi for winning 2020 ipl,Positive
27,@anjubharatrawat I won't Say Rishabh Pant now as well bcoz i feel he will still play a big role in DC winning the 1… https://t.co/PmvRtOw5p0,Aamej Shreyansh,58384,1120,,False,1,0,2020-10-29 09:39:26,I won t Say Rishabh Pant now as well bcoz i feel he will still play a big role in DC winning the 1,Positive
28,Twitterati reacts to #RCB captain Virat Kohli staring at Surya Kumar Yadav during his match-winning knock for… https://t.co/QZoBwD8pW0,Circle of Cricket,73624,112175,,True,15,2,2020-10-29 09:35:56,Twitterati reacts to RCB captain Virat Kohli staring at Surya Kumar Yadav during his match winning knock for,Positive
29,"Cheap antics-100%, performance-0%, winning % as RCB captain-47%, Highest auction price -17 crores. We are just done… https://t.co/JkdVQq3KbM",thesouthernwoman,71,1,,False,0,1,2020-10-29 09:26:50,Cheap antics 100 performance 0 winning as RCB captain 47 Highest auction price 17 crores We are just done,Positive
30,"Suryakumar has burning desire to don India blue: Pollard 

Mumbai Indians skipper Kieron Pollard was effusive in hi… https://t.co/PrcfGDwJhh",www GiftYourHubby com,1750,36,,False,0,0,2020-10-29 08:59:49,Suryakumar has burning desire to don India blue Pollard Mumbai Indians skipper Kieron Pollard was effusive in hi,Neutral
31,Thanks @zee24taasnews for picking my Tweet for match between Mumbai Indians and Royal Challengers Banglore.… https://t.co/F8r3T9J9Pe,Pran Parab,613,26,India,False,2,0,2020-10-29 08:55:46,Thanks for picking my Tweet for match between Mumbai Indians and Royal Challengers Banglore,Positive
32,@imVkohli @RCBTweets RCB still not among the IPL winning teams even after so many years. Needless to say who should be questioned.,gaurav srivastava,306,10,,False,0,0,2020-10-29 07:06:37,RCB still not among the IPL winning teams even after so many years Needless to say who should be questioned,Positive
33,Kolly deserves chamat😂 https://t.co/SFcrZki1Ed,#KKR💜,19871,251,India ,False,1,0,2020-10-29 06:51:34,Kolly deserves chamat,Neutral
34,"Rohit does an Archer #IPL2020 #SuryakumarYadav #Rohit
https://t.co/qzgYFsBOUV",India.com,194651,12895,India,True,2,0,2020-10-29 06:49:25,Rohit does an Archer IPL2020 SuryakumarYadav Rohit,Neutral
35,@imVishuu @Priyesh95391021 @RaviShastriOfc @surya_14kumar how many time his team (RCB) qualify for playoffs remembe… https://t.co/aGS6fRbXA0,ਰਮਿੰਦਰ ਸਿੰਘ,16,8,"Melbourne, Victoria",False,0,0,2020-10-29 04:25:50,14kumar how many time his team RCB qualify for playoffs remembe,Positive
36,"RT @CricketNDTV: Social media was awash with accolades for #SuryakumarYadav whose unbeaten 79, two days after being omitted from the #India…",FARMAN PASHA,177538,346,,False,0,11,2020-10-29 04:08:58,RT Social media was awash with accolades for SuryakumarYadav whose unbeaten 79 two days after being omitted from the India,Positive
37,"IPL 2020, MI vs RCB: Suryakumar Yadav’s Response to Virat Kohli’s Stare-down After Match-Winning Knock in Abu –… https://t.co/Euj3EVIMlT",Jimmy Sharma,1911,326,"New Delhi, India",False,0,0,2020-10-29 04:02:57,IPL 2020 MI vs RCB Suryakumar Yadav s Response to Virat Kohli s Stare down After Match Winning Knock in Abu,Positive
38,RT @IndiaToday: India head coach #RaviShastri has urged #SuryakumarYadav to remain strong and patient after the Mumbai Indians star hit a m…,Imran,32759,514,India O India Kya Kehna Tera..,False,0,2,2020-10-29 03:16:42,RT India head coach RaviShastri has urged SuryakumarYadav to remain strong and patient after the Mumbai Indians star hit a m,Positive
39,@imVkohli @RCBTweets We are still rcb fans even rcb looses #RCB #PlayBold win next match and show the power of rcb… https://t.co/iPTBsoq7C2,PS Star 09,3,0,,False,0,0,2020-10-29 03:06:55,We are still rcb fans even rcb looses RCB PlayBold win next match and show the power of rcb,Positive
40,RT @IndiaToday: India head coach #RaviShastri has urged #SuryakumarYadav to remain strong and patient after the Mumbai Indians star hit a m…,IndiaTodayFLASH,391070,1121303,,True,0,2,2020-10-29 03:06:02,RT India head coach RaviShastri has urged SuryakumarYadav to remain strong and patient after the Mumbai Indians star hit a m,Positive
41,India head coach #RaviShastri has urged #SuryakumarYadav to remain strong and patient after the Mumbai Indians star… https://t.co/YJbYPPXjq2,IndiaToday,792273,5399262,India,True,30,2,2020-10-29 03:05:39,India head coach RaviShastri has urged SuryakumarYadav to remain strong and patient after the Mumbai Indians star,Positive
42,"Surya allowed his bat to do the talking. #IPL2020 #MIvRCB #SuryakumarYadav #ViratKohli 
https://t.co/lRx43AEUtv",India.com,194651,12895,India,True,3,0,2020-10-29 03:05:24,Surya allowed his bat to do the talking IPL2020 MIvRCB SuryakumarYadav ViratKohli,Neutral
