,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,clean_tweet,Sentiment
0,RT @RandiAthenas: Ƹ̵̡Ӝ̵̨̄Ʒ●●✯✮❉♥ WOW! ♥❉✮✯●Ƹ̵̡Ӝ̵̨̄Ʒ ♦ 40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learn…,PythonProgrammingHub_Bot,10343.0,151.0,,False,0.0,5.0,2020-10-30 09:06:22,RT WOW 40 Algorithms Every Programmer Should Know Hone your problem solving skills by learn,Positive
1,RT @RandiAthenas: Ƹ̵̡Ӝ̵̨̄Ʒ●●✯✮❉♥ WOW! ♥❉✮✯●Ƹ̵̡Ӝ̵̨̄Ʒ ♦ 40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learn…,Aaron ''Midlife Coder'' Cuddeback,999301.0,14879.0,"Sacramento, CA",False,0.0,5.0,2020-10-30 09:06:21,RT WOW 40 Algorithms Every Programmer Should Know Hone your problem solving skills by learn,Positive
2,RT @RandiAthenas: Ƹ̵̡Ӝ̵̨̄Ʒ●●✯✮❉♥ WOW! ♥❉✮✯●Ƹ̵̡Ӝ̵̨̄Ʒ ♦ 40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learn…,Eric Brooks,17317.0,9751.0,"Hershey, PA",False,0.0,5.0,2020-10-30 09:04:48,RT WOW 40 Algorithms Every Programmer Should Know Hone your problem solving skills by learn,Positive
3,Ƹ̵̡Ӝ̵̨̄Ʒ●●✯✮❉♥ WOW! ♥❉✮✯●Ƹ̵̡Ӝ̵̨̄Ʒ ♦ 40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by… https://t.co/foABSRg7Kj,Randi Athenas,48090.0,25677.0,"CyberTown, CA",False,1.0,5.0,2020-10-30 09:03:03,WOW 40 Algorithms Every Programmer Should Know Hone your problem solving skills by,Positive
4,RT @GraphqlTrends: Pragma: A Language for Building #GraphQL APIs In No Time #python #pythonprogramming #pythondev #dormosheio #showdev #jav…,Gnuts about Code,433535.0,2901.0,,False,0.0,6.0,2020-10-30 09:01:35,RT Pragma A Language for Building GraphQL APIs In No Time python pythonprogramming pythondev dormosheio showdev jav,Neutral
5,RT @GraphqlTrends: Pragma: A Language for Building #GraphQL APIs In No Time #python #pythonprogramming #pythondev #dormosheio #showdev #jav…,Gnuts about Code,433535.0,2901.0,,False,0.0,6.0,2020-10-30 09:01:35,RT Pragma A Language for Building GraphQL APIs In No Time python pythonprogramming pythondev dormosheio showdev jav,Neutral
6,RT @GraphqlTrends: Pragma: A Language for Building #GraphQL APIs In No Time #python #pythonprogramming #pythondev #dormosheio #showdev #jav…,PythonTrends,301.0,53.0,,False,0.0,6.0,2020-10-30 09:01:30,RT Pragma A Language for Building GraphQL APIs In No Time python pythonprogramming pythondev dormosheio showdev jav,Neutral
7,RT @GraphqlTrends: Pragma: A Language for Building #GraphQL APIs In No Time #python #pythonprogramming #pythondev #dormosheio #showdev #jav…,Web Trends,21507.0,568.0,,False,0.0,6.0,2020-10-30 09:01:30,RT Pragma A Language for Building GraphQL APIs In No Time python pythonprogramming pythondev dormosheio showdev jav,Neutral
8,@CodingThunder @ritvikdubey27 @Deepak_python @Wikipedia @MozDevNet HTML is the best programming language especially… https://t.co/ukOC2GgNzX,Aditya Chaudhary👨‍💻,981.0,733.0,Present 🙃,False,2.0,0.0,2020-10-30 08:59:32,python HTML is the best programming language especially,Positive
9,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,PythonProgrammingHub_Bot,10343.0,151.0,,False,0.0,8.0,2020-10-30 08:56:14,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
10,"Once upon a time, Python the professional object oriented language left her home. Python went home.",Jeffrey MacAskill,182717.0,37.0,,False,0.0,0.0,2020-10-30 08:55:15,Once upon a time Python the professional object oriented language left her home Python went home,Positive
11,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,Code4Developers,10504.0,232.0,"Gandhinagar, India",False,0.0,8.0,2020-10-30 08:54:46,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
12,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,Jessica shoonover,113506.0,923.0,bootcamp,False,0.0,8.0,2020-10-30 08:54:40,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
13,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,#100DaysOfCode,373789.0,4493.0,Server,False,0.0,8.0,2020-10-30 08:54:40,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
14,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,Women Coders Bot,287208.0,5174.0,"Hamburg, Germany",False,0.0,8.0,2020-10-30 08:54:28,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
15,RT @Alaba_Lanre13: Creating a new programming language.... is it that necessary? or working and improving those we have already. #developer…,FemTech_🖥👩🏽‍💻,860440.0,16220.0,"Berlin, Deutschland",False,0.0,8.0,2020-10-30 08:54:28,RT Lanre13 Creating a new programming language is it that necessary or working and improving those we have already developer,Positive
16,Creating a new programming language.... is it that necessary? or working and improving those we have already.… https://t.co/IXQ6rHwO8Q,Alaba Olanrewaju💻🎮,254.0,55.0,Africa ,False,6.0,8.0,2020-10-30 08:54:23,Creating a new programming language is it that necessary or working and improving those we have already,Positive
17,"@CodingThunder @AdityaGameDev @ritvikdubey27 @Deepak_python @Wikipedia 10th time on Twitter:
“HTML is a programming… https://t.co/CyuYyg0LiP",Jithu Joshy Jy,812.0,67.0,"India, Kerala, Kannur",False,1.0,0.0,2020-10-30 08:41:51,python 10th time on Twitter HTML is a programming,Neutral
18,"[2/2] In today's video, I will cover the topic of selecting a programming language, which different kinds of langua… https://t.co/beoJYRh98h",KenanBek,100.0,19.0,Amsterdam,False,0.0,0.0,2020-10-30 08:41:35,2 2 In today s video I will cover the topic of selecting a programming language which different kinds of langua,Neutral
19,"@AdityaGameDev @ritvikdubey27 @Deepak_python 9th time on Twitter:
“HTML is a programming language”
It belongs to th… https://t.co/Tfza1zlWoE",Jithu Joshy Jy,812.0,67.0,"India, Kerala, Kannur",False,1.0,0.0,2020-10-30 08:40:05,python 9th time on Twitter HTML is a programming language It belongs to th,Neutral
20,"RT @machine_ml: RT @blackstembot: RT @rasangarocks: These are the best books to learn #Python #programming    

1 https://t.co/isSMwZxhnx
2…",FemTech_🖥👩🏽‍💻,860440.0,16220.0,"Berlin, Deutschland",False,0.0,4.0,2020-10-30 08:25:23,RT ml RT RT These are the best books to learn Python programming 1 2,Positive
21,"RT @machine_ml: RT @blackstembot: RT @rasangarocks: These are the best books to learn #Python #programming    

1 https://t.co/isSMwZxhnx
2…",#100DaysOfCode,373789.0,4493.0,Server,False,0.0,4.0,2020-10-30 08:25:19,RT ml RT RT These are the best books to learn Python programming 1 2,Positive
22,"RT @machine_ml: RT @blackstembot: RT @rasangarocks: These are the best books to learn #Python #programming    

1 https://t.co/isSMwZxhnx
2…",Jessica shoonover,113506.0,923.0,bootcamp,False,0.0,4.0,2020-10-30 08:25:19,RT ml RT RT These are the best books to learn Python programming 1 2,Positive
23,"RT @blackstembot: RT @rasangarocks: These are the best books to learn #Python #programming    

1… https://t.co/J3Z1m8aScZ",Machine Learning,142976.0,12024.0,,False,3.0,4.0,2020-10-30 08:25:18,RT RT These are the best books to learn Python programming 1,Positive
24,"Once upon a time, Python the outstanding object oriented language set out for adventures. Python went home.",Jeffrey MacAskill,182717.0,37.0,,False,0.0,0.0,2020-10-30 08:25:08,Once upon a time Python the outstanding object oriented language set out for adventures Python went home,Positive
25,Pragma: A Language for Building #GraphQL APIs In No Time #python #pythonprogramming #pythondev #dormosheio #showdev… https://t.co/Cvu4HbMRpI,GraphQL Trends,1171.0,205.0,,False,3.0,6.0,2020-10-30 08:22:00,Pragma A Language for Building GraphQL APIs In No Time python pythonprogramming pythondev dormosheio showdev,Neutral
26,"RT @rasangarocks: These are the best books to learn #Python #programming    

1 https://t.co/JvbDILAOSp
2 https://t.co/pK3bYVWcHg
3 https:/…",ハーフ_man✊🏾🏝😷 ハーフ_machine🤖⚙️🗡,33289.0,140.0,BLACK LIVES MATTER,False,0.0,32.0,2020-10-30 08:21:49,RT These are the best books to learn Python programming 1 2 3 https,Positive
27,"@AdityaGameDev @ritvikdubey27 @Deepak_python Wikipedia is not always correct

@Wikipedia, HTML is not a programming… https://t.co/1fSoISFEAj",YAKSH BARIYA 👨‍💻,1827.0,205.0,INDIA,False,2.0,0.0,2020-10-30 08:21:13,python Wikipedia is not always correct HTML is not a programming,Neutral
28,"RT @ficeindia: Click the link below to write your first computer program in Python programming language
https://t.co/SgTICzMM5E

If you wan…",Black People Data,45860.0,1549.0,Global,False,0.0,3.0,2020-10-30 08:13:42,RT Click the link below to write your first computer program in Python programming language If you wan,Positive
29,@AHARISH_IITK @tony_gazillioni Not sure what you mean. Quantopian is built on python language,marwoodjb,5343.0,35398.0,Auckland & London,False,0.0,0.0,2020-10-30 08:03:08,IITK gazillioni Not sure what you mean Quantopian is built on python language,Negative
30,"Python is an interpreted, high-level and general-purpose programming language. Created by Guido van Rossum and firs… https://t.co/fbgeznqOo6",🎩Amlan,49479.0,1042.0,Delhi | dil,False,3.0,1.0,2020-10-30 08:00:19,Python is an interpreted high level and general purpose programming language Created by Guido van Rossum and firs,Positive
31,RT @GlobalBridgeSol: Programming language Python is a big hit for machine learning. But now it needs to change https://t.co/an0Iio3XbO #pyt…,Python Expert,22834.0,185.0,127.0.0.1,False,0.0,1.0,2020-10-30 07:41:23,RT Programming language Python is a big hit for machine learning But now it needs to change pyt,Neutral
